channelId,name,name.en,affiliation,group,subscriptionCount,videoCount
UCJFZiqLMntJufDCHc6bQixg,hololive ホロライブ - VTuber Group,Hololive VTuber Group,Hololive,,1240000,217
UCfrWoRGlawPQDQxxeIDRP0Q,hololive Indonesia,Hololive Indonesia,Hololive,,139000,27
UCotXwY6s8pWmuWd_snKYjhg,hololive English,Hololive English,Hololive,,148000,4
UCWsfcksUUpoEvhia0_ut0bA,holostars ホロスターズ - VTuber Group,Holostars Official,Hololive,,74700,28
UCp6993wxpyDPHUpavwDFqgg,SoraCh. ときのそらチャンネル,Tokino Sora,Hololive,,766000,401
UC2hWFlqMew61Jy6A8zu5HzQ,Iku Hoshifuri / 星降いく [PRISM Project],Hoshifuri Iku,PRISM,Generation1,17800,79
UCBJFsaCvgBa1a9BnEaxu97Q,Rita Kamishiro / 神代りた [PRISM Project],Kamishiro Rita,PRISM,Generation1,6210,62
UCnYhIk9aGEx_bIgheVjs53w,Luto Araka / 新火ると [PRISM Project],Araka Luto,PRISM,Generation1,13600,55
UCRWF6QSuklmwY3UJHyVTQ1w,Aoi Tokimori / 時守あおい [PRISM Project],Tokimori Aoi,PRISM,Generation1,6340,82
UCZfQRuwSLty74QAj55BaKlA,Meno Ibuki / 伊吹めの [PRISM Project],Ibuki Meno,PRISM,Generation1,5960,134
UCX7YkU9nEeaoZbkVLVajcMg,にじさんじ,Nijisanji,Nijisanji,Official,680000,725
UC8NZiqKx6fsDT3AVcMiVFyA,犬山たまき / 佃煮のりおチャンネル,Inuyama Tamaki,Nori Pro,TAMAKI,639000,668
UCC0i9nECi4Gz7TU63xZwodg,白雪みしろShirayuki Mishiro,Shirayuki Mishiro,Nori Pro,Gen 1,161000,480
UCCXME7oZmXB2VFHJbz5496A,熊谷タクマKumagaya Takuma,Kumagaya Takuma,Nori Pro,Gen 1,48500,25
UCJCzy0Fyrm0UhIrGQ7tHpjg,愛宮みるくMilk Enomiya,Enomiya Milk,Nori Pro,Gen 1,97800,239
UCle1cz6rcyH0a-xoMYwLlAg,姫咲ゆずるHimesaki Yuzuru,Himesaki Yuzuru,Nori Pro,Gen 1,69100,163
UC6oDys1BGgBsIC3WhG1BovQ,Shizuka Rin Official,Shizuka Rin,Nijisanji,Wave 1,330000,1019
UCD-miitqNY3nyukJ4Fnf4_A,月ノ美兎,Tsukino Mito,Nijisanji,Wave 1,742000,490
UCeK9HFcRZoTrvqcUCtccMoQ,渋谷ハジメのはじめ支部,Shibuya Hajime,Nijisanji,Wave 1,129000,1207
UCLO9QDxVL4bnvRRsz6K4bsQ,勇気ちひろ,Yuuki Chihiro,Nijisanji,Wave 1,467000,856
UCpnvhOIJ6BN-vPkYU9ls-Eg,鈴谷アキの陽だまりの庭,Suzuya Aki,Nijisanji,Wave 1,118000,591
UCsg-YqdqQ-KFF0LNk23BY4A,樋口楓【にじさんじ所属】,Higuchi Kaede,Nijisanji,Wave 1,411000,619
UCvmppcdYf4HOv-tFQhHHJMA,《にじさんじ所属の女神》モイラ,Moira,Nijisanji,Wave 1,132000,266
UCYKP16oMX9KKPbrNgo_Kgag,エルフのえる / にじさんじ所属,Elu the Elf,Nijisanji,Wave 1,208000,795
